idnum,latency,condition,condition_str,subj_id
37,281.0,0,ND,SB2
37,317.375,1,SD,SB2
37,356.393939394,2,AD,SB2
24,342.19047619,0,ND,HY
24,368.414634146,1,SD,HY
24,389.052631579,2,AD,HY
29,293.307692308,0,ND,CD2
29,336.512820513,1,SD,CD2
29,405.5625,2,AD,CD2
49,260.133333333,0,ND,CH
49,279.159090909,1,SD,CH
49,301.357142857,2,AD,CH
11,255.9,0,ND,JS
11,351.083333333,1,SD,JS
11,324.605263158,2,AD,JS
12,289.86,0,ND,LK_
12,364.078947368,1,SD,LK_
12,374.463414634,2,AD,LK_
35,279.454545455,0,ND,BG
35,304.176470588,1,SD,BG
35,321.693877551,2,AD,BG
40,342.571428571,0,ND,CD1
40,330.311111111,1,SD,CD1
40,371.375,2,AD,CD1
25,306.181818182,0,ND,EB2
25,366.022727273,1,SD,EB2
25,342.217391304,2,AD,EB2
20,278.117647059,0,ND,JF
20,319.048780488,1,SD,JF
20,325.882352941,2,AD,JF
47,294.872340426,0,ND,EW1_
47,344.071428571,1,SD,EW1_
47,320.886363636,2,AD,EW1_
30,298.696428571,0,ND,IB
30,316.235294118,1,SD,IB
30,318.545454545,2,AD,IB
28,286.339622642,0,ND,RQ
28,307.666666667,1,SD,RQ
28,355.205128205,2,AD,RQ
50,277.288888889,0,ND,KR
50,316.891304348,1,SD,KR
50,312.346938776,2,AD,KR
53,302.82,0,ND,EB1
53,309.714285714,1,SD,EB1
53,336.8,2,AD,EB1
45,341.205128205,0,ND,NA_
45,376.547619048,1,SD,NA_
45,366.941176471,2,AD,NA_
51,330.063829787,0,ND,NC
51,362.394736842,1,SD,NC
51,328.774193548,2,AD,NC
55,276.914893617,0,ND,JT1
55,311.19047619,1,SD,JT1
55,306.447368421,2,AD,JT1
17,289.181818182,0,ND,JT2
17,329.416666667,1,SD,JT2
17,319.097560976,2,AD,JT2
34,288.52,0,ND,PB
34,331.897959184,1,SD,PB
34,314.377358491,2,AD,PB
19,286.324324324,0,ND,AW2_
19,330.676470588,1,SD,AW2_
19,340.21875,2,AD,AW2_
15,296.902439024,0,ND,RF
15,327.727272727,1,SD,RF
15,390.108108108,2,AD,RF
42,301.161290323,0,ND,TM
42,341.8,1,SD,TM
42,304.733333333,2,AD,TM
41,263.833333333,0,ND,LS
41,293.925925926,1,SD,LS
41,294.75,2,AD,LS
52,277.454545455,0,ND,LH1
52,339.936170213,1,SD,LH1
52,330.461538462,2,AD,LH1
18,322.06,0,ND,RC
18,375.224489796,1,SD,RC
18,376.45,2,AD,RC
22,316.5,0,ND,TC
22,339.694444444,1,SD,TC
22,348.451612903,2,AD,TC
44,294.673913043,0,ND,LH2
44,353.69047619,1,SD,LH2
44,367.216216216,2,AD,LH2
54,299.489361702,0,ND,SB1
54,359.435897436,1,SD,SB1
54,377.893617021,2,AD,SB1
23,285.867924528,0,ND,IR
23,306.125,1,SD,IR
23,366.419354839,2,AD,IR
21,273.148148148,0,ND,EK
21,291.548387097,1,SD,EK
21,298.594594595,2,AD,EK
3,371.025,0,ND,EJ
3,459.0625,1,SD,EJ
3,404.321428571,2,AD,EJ
1,309.288888889,0,ND,EF
1,334.38,1,SD,EF
1,357.681818182,2,AD,EF
46,288.309090909,0,ND,AM
46,337.210526316,1,SD,AM
46,340.102040816,2,AD,AM
7,261.596153846,0,ND,AB1_
7,319.731707317,1,SD,AB1_
7,338.295454545,2,AD,AB1_
43,277.4375,0,ND,RG
43,316.34,1,SD,RG
43,325.705882353,2,AD,RG
39,278.672727273,0,ND,AS
39,338.066666667,1,SD,AS
39,336.375,2,AD,AS
4,280.913043478,0,ND,EC2
4,318.8125,1,SD,EC2
4,402.1,2,AD,EC2
38,279.64,0,ND,EC1
38,341.825,1,SD,EC1
38,357.294117647,2,AD,EC1
16,316.875,0,ND,GM
16,344.152173913,1,SD,GM
16,357.607843137,2,AD,GM
14,349.128205128,0,ND,CP
14,352.357142857,1,SD,CP
14,447.590909091,2,AD,CP
48,315.235294118,0,ND,RD
48,357.869565217,1,SD,RD
48,364.958333333,2,AD,RD
13,313.62962963,0,ND,KC
13,326.529411765,1,SD,KC
13,338.705882353,2,AD,KC
9,283.359375,0,ND,SY
9,336.177777778,1,SD,SY
9,336.26,2,AD,SY
32,311.153846154,0,ND,CM
32,368.074074074,1,SD,CM
32,379.483870968,2,AD,CM
36,299.454545455,0,ND,MC
36,356.111111111,1,SD,MC
36,363.346938776,2,AD,MC
10,297.066666667,0,ND,SS
10,363.935483871,1,SD,SS
10,376.363636364,2,AD,SS
31,299.055555556,0,ND,PO
31,328.135135135,1,SD,PO
31,314.0,2,AD,PO
27,265.56,0,ND,AL_
27,302.914285714,1,SD,AL_
27,293.076923077,2,AD,AL_
5,297.533333333,0,ND,EW2_
5,345.628571429,1,SD,EW2_
5,367.212121212,2,AD,EW2_
6,326.97826087,0,ND,AW3_
6,382.651162791,1,SD,AW3_
6,373.133333333,2,AD,AW3_
8,293.34,0,ND,EM2
8,333.47826087,1,SD,EM2
8,320.166666667,2,AD,EM2
26,247.442622951,0,ND,AW1_
26,298.857142857,1,SD,AW1_
26,326.4,2,AD,AW1_
2,316.085106383,0,ND,SF
2,347.75862069,1,SD,SF
2,319.0,2,AD,SF
33,283.82,0,ND,GB
33,355.903225806,1,SD,GB
33,368.974358974,2,AD,GB
