'ID','Latency_ND','Latency_SD','Latency_AD'
SB2,289.75,334.625,372.5
HY,369.611111111,364.854545455,388.651162791
CD2,288.016393443,352.191489362,369.911111111
CH,267.358490566,282.127272727,304.640625
JS,260.836065574,368.421052632,360.428571429
LK_,288.931034483,360.37037037,415.903846154
BG,286.527272727,312.516666667,356.0
CD1,339.196721311,329.461538462,356.235294118
EB2,316.542372881,361.358490566,342.596491228
JF,298.447761194,325.530612245,329.827586207
EW1_,301.344827586,335.941176471,329.395833333
IB,347.35483871,372.508196721,325.80952381
RQ,287.582089552,370.661538462,366.153846154
KR,278.555555556,320.410714286,323.314814815
EB1,301.862745098,334.476923077,368.111111111
NA,383.042553191,425.06122449,407.234042553
NC,323.964285714,352.963636364,316.488372093
JT1,269.185185185,309.051724138,309.358490566
JT2,292.767857143,333.170731707,326.301886792
PB,297.916666667,329.490909091,312.724137931
AW2_,299.170212766,368.26,357.302325581
RF,307.196428571,343.404255319,370.6
TM,346.288888889,354.2,298.538461538
LS,269.646153846,298.734375,303.20754717
LH1,284.576271186,335.411764706,330.711538462
RC,342.606557377,372.263157895,359.26
TC,444.469387755,331.261904762,364.72
LH2,291.363636364,350.734693878,363.127659574
SB1,303.180327869,358.040816327,387.462962963
IR,285.580645161,308.693877551,409.170212766
EK,291.567164179,319.256410256,311.392156863
EJ,391.327272727,451.054054054,417.025641026
EF,323.196428571,341.203703704,376.019230769
AM,287.133333333,406.772727273,328.269230769
AB1_,268.166666667,319.333333333,386.557692308
RG,275.656716418,329.148148148,325.114754098
AS,284.188405797,378.764705882,375.3
EC2,295.206896552,317.481481481,403.268292683
EC1,283.018181818,349.519230769,351.355932203
GM,318.79245283,339.033333333,358.75
CP,373.517857143,396.604651163,448.620689655
RD,316.672131148,362.918032787,362.431372549
KC,322.762711864,341.421875,334.879310345
SY,283.410958904,344.166666667,340.672131148
CM,316.74137931,360.657142857,364.951219512
MC,323.810344828,363.14893617,387.763636364
SS,312.05,409.413043478,355.387755102
PO,299.679245283,338.641509434,308.436363636
AL_,268.898305085,303.411764706,281.613636364
EW2_,313.551724138,340.959183673,358.361702128
AW3_,327.807017544,393.690909091,363.189655172
EM2,298.245901639,353.228070175,311.29787234
AW1_,250.449275362,298.16,325.088235294
SF,334.769230769,365.113636364,317.70212766
GB,286.47761194,364.042553191,364.051282051

